"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"1",256.26001,260.329987,244.589996,252.479996,16114000,252.479996,2018-04-02,"TSLA",NA,NA
"2",269.820007,273.350006,254.490005,267.529999,18844400,267.529999,2018-04-03,"TSLA",0.0596086947022922,0.0596086947022922
"3",252.779999,288.369995,252,286.940002,19896700,286.940002,2018-04-04,"TSLA",0.0725526224070296,0.0725526224070296
"4",289.339996,306.26001,288.200012,305.720001,19121100,305.720001,2018-04-05,"TSLA",0.0654492188928055,0.0654492188928055
"5",301,309.279999,295.5,299.299988,13520300,299.299988,2018-04-06,"TSLA",-0.0209996499378529,-0.0209996499378529
"6",300.369995,309.5,289.209991,289.660004,10249800,289.660004,2018-04-09,"TSLA",-0.0322084343017079,-0.0322084343017079
"7",298.970001,307.100006,293.679993,304.700012,10989800,304.700012,2018-04-10,"TSLA",0.0519229710429749,0.0519229710429749
"8",300.73999,308.980011,299.660004,300.929993,7482900,300.929993,2018-04-11,"TSLA",-0.0123728875993612,-0.0123728875993612
"9",302.320007,303.950012,293.679993,294.079987,7608800,294.079987,2018-04-12,"TSLA",-0.0227627892178897,-0.0227627892178897
"10",303.600006,303.950012,295.980011,300.339996,7327200,300.339996,2018-04-13,"TSLA",0.021286756245674,0.021286756245674
"11",299,299.660004,289.01001,291.209991,6338500,291.209991,2018-04-16,"TSLA",-0.0303988983205553,-0.0303988983205553
"12",288.869995,292.170013,282.51001,287.690002,7e+06,287.690002,2018-04-17,"TSLA",-0.0120874595954368,-0.0120874595954368
"13",291.079987,300.23999,288.160004,293.350006,6557700,293.350006,2018-04-18,"TSLA",0.0196739683709968,0.0196739683709968
"14",291.079987,301.01001,288.549988,300.079987,6090600,300.079987,2018-04-19,"TSLA",0.0229418130640844,0.0229418130640844
"15",295.170013,299.980011,289.75,290.23999,5627900,290.23999,2018-04-20,"TSLA",-0.0327912470883973,-0.0327912470883973
"16",291.290009,291.619995,282.329987,283.369995,4893400,283.369995,2018-04-23,"TSLA",-0.0236700497405611,-0.0236700497405611
"17",285,287.089996,278.459991,283.459991,5685300,283.459991,2018-04-24,"TSLA",0.000317591846659582,0.000317591846659582
"18",283.5,285.160004,277.25,280.690002,4013600,280.690002,2018-04-25,"TSLA",-0.009772063387951,-0.009772063387951
"19",278.75,285.790009,276.5,285.480011,4356000,285.480011,2018-04-26,"TSLA",0.0170651215428756,0.0170651215428756
"20",285.369995,294.470001,283.829987,294.079987,4364600,294.079987,2018-04-27,"TSLA",0.0301246170261638,0.0301246170261638
"21",293.609985,298.730011,292.5,293.899994,4228200,293.899994,2018-04-30,"TSLA",-0.000612054570037879,-0.000612054570037879
"22",293.51001,300.820007,293.220001,299.920013,4625600,299.920013,2018-05-01,"TSLA",0.0204832226025837,0.0204832226025837
"23",298.570007,306.850006,297.779999,301.149994,8970400,301.149994,2018-05-02,"TSLA",0.00410103009698126,0.00410103009698126
"24",278.790009,288.040009,275.230011,284.450012,17352100,284.450012,2018-05-03,"TSLA",-0.0554540339788284,-0.0554540339788284
"25",283,296.859985,279.519989,294.089996,8569400,294.089996,2018-05-04,"TSLA",0.0338899054080546,0.0338899054080546
"26",297.5,305.959991,295.170013,302.769989,8678200,302.769989,2018-05-07,"TSLA",0.0295147509879936,0.0295147509879936
"27",300.799988,307.75,299,301.970001,5930000,301.970001,2018-05-08,"TSLA",-0.00264223017163034,-0.00264223017163034
"28",300.410004,307.01001,300.049988,306.850006,5727400,306.850006,2018-05-09,"TSLA",0.0161605622539969,0.0161605622539969
"29",307.5,312.98999,304.109985,305.019989,5651600,305.019989,2018-05-10,"TSLA",-0.00596388125864988,-0.00596388125864988
"30",307.700012,308.880005,299.079987,301.059998,4679600,301.059998,2018-05-11,"TSLA",-0.0129827261911022,-0.0129827261911022
"31",303.320007,304.940002,291.619995,291.970001,7286800,291.970001,2018-05-14,"TSLA",-0.0301933071825768,-0.0301933071825768
"32",285.01001,286.959991,280.5,284.179993,9519200,284.179993,2018-05-15,"TSLA",-0.0266808506809575,-0.0266808506809575
"33",283.829987,288.809998,281.559998,286.480011,5674000,286.480011,2018-05-16,"TSLA",0.00809352542984954,0.00809352542984954
"34",285.899994,289.190002,283.970001,284.540009,4420600,284.540009,2018-05-17,"TSLA",-0.00677185815941617,-0.00677185815941617
"35",284.649994,284.649994,274,276.820007,7251900,276.820007,2018-05-18,"TSLA",-0.0271315166789076,-0.0271315166789076
"36",281.329987,291.48999,281.299988,284.48999,9182600,284.48999,2018-05-21,"TSLA",0.0277074734702973,0.0277074734702973
"37",287.76001,288,273.420013,275.01001,8945800,275.01001,2018-05-22,"TSLA",-0.0333227190172841,-0.0333227190172841
"38",277.76001,279.910004,274,279.070007,5953100,279.070007,2018-05-23,"TSLA",0.0147630880781393,0.0147630880781393
"39",278.399994,281.109985,274.890015,277.850006,4176700,277.850006,2018-05-24,"TSLA",-0.00437166649728848,-0.00437166649728848
"40",277.630005,279.640015,275.609985,278.850006,3875100,278.850006,2018-05-25,"TSLA",0.0035990641655772,0.0035990641655772
"41",278.51001,286.5,276.149994,283.76001,5666600,283.76001,2018-05-29,"TSLA",0.0176080469584068,0.0176080469584068
"42",283.290009,295.01001,281.600006,291.720001,7489700,291.720001,2018-05-30,"TSLA",0.0280518421182745,0.0280518421182745
"43",287.209991,290.369995,282.929993,284.730011,5919700,284.730011,2018-05-31,"TSLA",-0.0239612984232782,-0.0239612984232782
"44",285.859985,291.950012,283.839996,291.820007,5424400,291.820007,2018-06-01,"TSLA",0.0249007681877271,0.0249007681877271
"45",294.339996,299,293.549988,296.73999,4797800,296.73999,2018-06-04,"TSLA",0.0168596493796944,0.0168596493796944
"46",297.700012,297.799988,286.73999,291.130005,5995200,291.130005,2018-06-05,"TSLA",-0.0189053891927408,-0.0189053891927408
"47",300.5,322.170013,297.480011,319.5,18767300,319.5,2018-06-06,"TSLA",0.0974478566714552,0.0974478566714552
"48",316.149994,330,313.579987,316.089996,14345300,316.089996,2018-06-07,"TSLA",-0.0106729389671362,-0.0106729389671362
"49",319,324.480011,317.149994,317.660004,8205200,317.660004,2018-06-08,"TSLA",0.00496696516773043,0.00496696516773043
"50",322.51001,334.660004,322.5,332.100006,13183500,332.100006,2018-06-11,"TSLA",0.0454574130144505,0.0454574130144505
"51",344.700012,354.970001,338,342.769989,22347400,342.769989,2018-06-12,"TSLA",0.0321288250744567,0.0321288250744567
"52",346.709991,347.200012,339.799988,344.779999,9469800,344.779999,2018-06-13,"TSLA",0.00586401979316786,0.00586401979316786
"53",347.630005,358.75,346.600006,357.720001,10981000,357.720001,2018-06-14,"TSLA",0.0375311852123998,0.0375311852123998
