price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,pctChange,changeCategory
269.820007,273.350006,254.490005,267.529999,18844400,267.529999,4/3/2018,TSLA,0.059608695,0.059608695,2.54320583,U
252.779999,288.369995,252,286.940002,19896700,286.940002,4/4/2018,TSLA,0.072552622,0.072552622,0.93931958,U
289.339996,306.26001,288.200012,305.720001,19121100,305.720001,4/5/2018,TSLA,0.065449219,0.065449219,-0.778427037,D
301,309.279999,295.5,299.299988,13520300,299.299988,4/6/2018,TSLA,-0.02099965,-0.02099965,0.06975979,E
300.369995,309.5,289.209991,289.660004,10249800,289.660004,4/9/2018,TSLA,-0.032208434,-0.032208434,0.104439527,E
298.970001,307.100006,293.679993,304.700012,10989800,304.700012,4/10/2018,TSLA,0.051922971,0.051922971,-1.147419108,D
300.73999,308.980011,299.660004,300.929993,7482900,300.929993,4/11/2018,TSLA,-0.012372888,-0.012372888,-0.514595187,E
302.320007,303.950012,293.679993,294.079987,7608800,294.079987,4/12/2018,TSLA,-0.022762789,-0.022762789,0.407527954,E
303.600006,303.950012,295.980011,300.339996,7327200,300.339996,4/13/2018,TSLA,0.021286756,0.021286756,-0.687500065,D
299,299.660004,289.01001,291.209991,6338500,291.209991,4/16/2018,TSLA,-0.030398898,-0.030398898,-0.538849866,E
288.869995,292.170013,282.51001,287.690002,7.00E+06,287.690002,4/17/2018,TSLA,-0.01208746,-0.01208746,-0.292028678,E
291.079987,300.23999,288.160004,293.350006,6557700,293.350006,4/18/2018,TSLA,0.019673968,0.019673968,-0.877546951,D
291.079987,301.01001,288.549988,300.079987,6090600,300.079987,4/19/2018,TSLA,0.022941813,0.022941813,-1.016640638,D
295.170013,299.980011,289.75,290.23999,5627900,290.23999,4/20/2018,TSLA,-0.032791247,-0.032791247,0.268324859,E
291.290009,291.619995,282.329987,283.369995,4893400,283.369995,4/23/2018,TSLA,-0.02367005,-0.02367005,0.73423276,U
